nit/cc distribuidor;nombre distribuidor;calidad del servicio;variable tecnica;eficiencia operativa;participacion y compromiso;resultado prestador
977e7bae35;428f3279f5;100,00 %;27,93 %;38,80 %;30,00 %;50,63 %
5db0f0ff4f;d4177e814b;89,09 %;77,40 %;40,84 %;80,00 %;65,21 %
432014e397;1eac688b8e;100,00 %;81,38 %;40,48 %;100,00 %;70,20 %
0ce5c21d95;f1adee6782;100,00 %;74,16 %;41,13 %;60,00 %;65,84 %
bb8bfce1de;4bea6b2676;100,00 %;54,66 %;39,93 %;30,00 %;58,15 %
fc7de48259;7ff21cb422;100,00 %;69,80 %;41,70 %;100,00 %;67,66 %
ae3e8efe9d;fb1e8d662e;97,27 %;81,08 %;39,26 %;80,00 %;67,57 %
14c2728951;9998408b58;100,00 %;0,00 %;41,39 %;0,00 %;42,31 %
9c1602fb47;8fe0bdd992;86,37 %;75,14 %;43,16 %;100,00 %;66,27 %
6c2f77c420;2b65552111;100,00 %;77,64 %;39,38 %;60,00 %;66,03 %
9a34d81dd0;ee4a90aa18;100,00 %;18,62 %;38,49 %;30,00 %;48,05 %
5af380aa64;6dda8f55bd;100,00 %;18,62 %;38,37 %;0,00 %;45,95 %
32a2de19ed;8b5316024b;100,00 %;80,31 %;37,93 %;80,00 %;67,49 %
415ac62ede;e4b0cdd41a;100,00 %;71,00 %;39,67 %;0,00 %;60,31 %
cfbc3b1ef6;e4bcbd09be;100,00 %;27,93 %;39,51 %;30,00 %;50,93 %
6f100ce439;36426791f8;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
6f100ce439;25fe8b2acf;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
6f100ce439;5f3efe1738;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
6f100ce439;fa6c4c92b0;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
6f100ce439;c855498bb9;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
6f100ce439;1f347cedd9;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
6f100ce439;f3d349bd98;80,91 %;73,21 %;40,48 %;60,00 %;60,55 %
5708b4378b;84c288c63e;100,00 %;78,35 %;39,12 %;80,00 %;67,47 %
4d7fdcc674;9e1d76eef2;100,00 %;27,93 %;40,10 %;0,00 %;49,13 %
e7b3bdc6ab;503f532dee;100,00 %;27,93 %;38,87 %;0,00 %;48,62 %
80c86b193c;42f33333bc;100,00 %;27,93 %;45,01 %;60,00 %;55,28 %
32bb4ddfbf;236f7e6924;100,00 %;64,54 %;40,27 %;;58,85 %
5b27fb4cf8;af7b6f3e90;100,00 %;81,06 %;41,10 %;100,00 %;70,38 %
18689cb35d;c5ff787ad3;100,00 %;79,24 %;42,62 %;0,00 %;63,71 %
1ab2d1fcf2;5bbec061a3;100,00 %;27,93 %;45,01 %;30,00 %;53,23 %
06614fa40a;3331adcfc4;100,00 %;18,62 %;41,37 %;30,00 %;49,25 %
ee9b0d3f6d;e55383231d;94,55 %;27,93 %;40,38 %;100,00 %;54,70 %
cd454a6def;fca1e268c5;100,00 %;0,00 %;36,95 %;0,00 %;40,45 %
b64a235ebf;93af18f809;100,00 %;27,93 %;42,92 %;0,00 %;50,31 %
b22e92c4f7;ba58c31b10;97,27 %;80,85 %;40,10 %;60,00 %;66,49 %
4caf87e83f;5b45700af8;100,00 %;80,31 %;42,10 %;0,00 %;63,77 %
21c1cc643c;6409765a91;100,00 %;27,93 %;41,31 %;100,00 %;56,46 %
941e51954f;a5d907180f;100,00 %;74,61 %;37,66 %;100,00 %;67,24 %
59926507e2;5ec69678de;100,00 %;27,93 %;41,98 %;0,00 %;49,92 %
043e6526ef;01fc44a5b6;94,55 %;80,70 %;39,19 %;;61,30 %
f283929715;019e91235c;100,00 %;9,31 %;43,75 %;0,00 %;45,75 %
ec7ea10f9e;9e8f3bb350;97,27 %;79,14 %;39,06 %;30,00 %;63,56 %
84422302a7;2cda3e810a;100,00 %;55,32 %;37,46 %;30,00 %;57,29 %
91f0a13833;fcf38c438c;94,55 %;27,93 %;38,83 %;0,00 %;47,24 %
2d3777145e;d3250f4b7c;100,00 %;37,24 %;41,07 %;0,00 %;51,99 %
a185fc258a;ffbb7e118b;100,00 %;18,62 %;40,53 %;0,00 %;46,86 %
21175716cf;97759884d0;100,00 %;27,93 %;41,75 %;30,00 %;51,87 %
0ef2583c98;8a7ce5e20b;91,09 %;78,46 %;39,95 %;90,00 %;66,30 %
f2114a733b;4aa75c6c96;100,00 %;27,93 %;38,00 %;80,00 %;53,71 %
c33624a47b;ab3a5ede3c;91,09 %;73,96 %;39,50 %;100,00 %;65,61 %
2db3d24f92;9b79265f60;100,00 %;80,40 %;39,86 %;90,00 %;69,00 %
de0b7155f9;8d446f596d;80,91 %;78,13 %;41,15 %;100,00 %;64,85 %
b0d1a37356;d5daf59d9b;93,82 %;78,17 %;40,51 %;60,00 %;65,10 %
e1d5ee013c;bd14eab8c7;100,00 %;63,97 %;40,58 %;100,00 %;65,65 %
13443943e6;95eb15d8a8;100,00 %;18,62 %;44,23 %;60,00 %;52,50 %
957493f6dd;625ac66154;100,00 %;9,31 %;42,53 %;30,00 %;47,28 %
6e281bd333;e86c73552d;97,27 %;80,85 %;39,36 %;60,00 %;66,18 %
81dd50f381;433b5e7159;97,27 %;71,55 %;39,99 %;60,00 %;63,99 %
6584089c4b;885508ad79;96,55 %;80,31 %;41,78 %;60,00 %;66,87 %
07ec2c029d;0cc025b657;100,00 %;27,93 %;40,52 %;0,00 %;49,31 %
6b846e0627;6df9f427c2;100,00 %;77,10 %;42,55 %;60,00 %;67,21 %
abb298f749;1807875f27;100,00 %;27,93 %;42,09 %;60,00 %;54,06 %
1b1dcdc550;36ec7cd3fa;100,00 %;27,93 %;40,22 %;0,00 %;49,18 %
48da1c0032;bc9c1a86db;100,00 %;18,62 %;38,27 %;60,00 %;50,01 %
281fb29eb8;28b3c6d317;100,00 %;9,31 %;38,22 %;0,00 %;43,44 %
99912ed369;097bcd4617;100,00 %;0,00 %;39,58 %;0,00 %;41,55 %
48a413e352;d42d6f2b50;100,00 %;0,00 %;35,08 %;0,00 %;39,67 %
1f2edd35e3;968cd474a2;100,00 %;0,00 %;37,04 %;30,00 %;42,54 %
1f286e37de;096b49926c;97,27 %;27,93 %;37,76 %;0,00 %;47,47 %
9b12d74231;a36357d670;100,00 %;0,00 %;45,01 %;0,00 %;43,82 %
ff48f44b31;9365b8d7bb;100,00 %;27,93 %;40,07 %;0,00 %;49,12 %
6e1e51e3db;27b26706c5;100,00 %;27,93 %;40,19 %;90,00 %;55,31 %
fee08139fa;9596286d9a;100,00 %;27,93 %;38,80 %;0,00 %;48,59 %
6bc4458c4f;95437c8098;100,00 %;27,93 %;40,38 %;30,00 %;51,30 %
a785908feb;f84ec5dd98;100,00 %;27,93 %;34,40 %;0,00 %;46,75 %
8a052970df;f473d9e7cf;100,00 %;27,93 %;40,00 %;30,00 %;51,14 %
7c4e796771;9fab5f0c14;100,00 %;29,00 %;35,13 %;60,00 %;51,43 %
f611f2a7b8;6c861ed629;100,00 %;27,93 %;40,21 %;0,00 %;49,18 %
11896af9b6;8325d4461e;97,27 %;27,93 %;40,03 %;0,00 %;48,42 %
c02c112938;517d008c5b;100,00 %;0,00 %;34,63 %;60,00 %;43,58 %
06628733c1;03bfa1641a;100,00 %;18,62 %;41,39 %;60,00 %;51,31 %
4b1f461187;1b31d4bd12;97,27 %;60,95 %;41,99 %;100,00 %;64,77 %
2358a5d5a8;80edd9d6ff;100,00 %;37,24 %;42,59 %;30,00 %;54,68 %
824287a132;065b1a4d7a;100,00 %;18,62 %;36,86 %;0,00 %;45,32 %
7902e5ca46;35d44b8d55;100,00 %;27,93 %;39,89 %;0,00 %;49,05 %
ee995c5555;961de3a8dc;100,00 %;18,62 %;37,21 %;30,00 %;47,51 %
75bb7cf412;eff5b6b471;100,00 %;18,62 %;36,31 %;0,00 %;45,09 %
4cd75b37f5;d6c23589fe;100,00 %;27,93 %;40,48 %;0,00 %;49,29 %
4dc18c6a1f;9a3c34ee77;100,00 %;27,93 %;36,86 %;30,00 %;49,82 %
33bb434b4e;23581663c2;100,00 %;27,93 %;43,92 %;0,00 %;50,73 %
4d70780f46;3e27cc710e;100,00 %;18,62 %;37,34 %;0,00 %;45,52 %
25bdae55a6;73ee0f83c0;100,00 %;27,93 %;39,58 %;0,00 %;48,91 %
d60f187be6;e91e993947;100,00 %;27,93 %;39,09 %;60,00 %;52,80 %
68ea3a6c05;98a19cb885;100,00 %;18,62 %;41,98 %;0,00 %;47,47 %
2556d8e74f;3e9f4ea9d9;100,00 %;37,24 %;41,39 %;0,00 %;52,12 %
9a422317d9;4de9d286b9;100,00 %;18,62 %;41,39 %;30,00 %;49,26 %
d12b4e320f;d48db8b127;100,00 %;27,93 %;37,10 %;0,00 %;47,88 %
50f6d9c602;b75d6298d9;100,00 %;18,62 %;42,29 %;0,00 %;47,59 %
7a875982ec;0645b4e491;97,27 %;53,79 %;36,72 %;100,00 %;60,67 %
4b23bcb596;651b42d993;100,00 %;27,93 %;35,33 %;0,00 %;47,14 %
e4d3c2e947;5ef50af7a2;100,00 %;18,62 %;40,07 %;80,00 %;52,12 %
a290ee119f;1bc7fa4b19;100,00 %;81,38 %;40,71 %;90,00 %;69,61 %
6f87ecc5a8;7da49ada77;100,00 %;36,48 %;40,67 %;60,00 %;55,72 %
474d531160;b5f53e93b5;80,91 %;79,62 %;41,80 %;100,00 %;65,52 %
8c8811f042;cc98abc08f;100,00 %;74,08 %;40,63 %;30,00 %;63,56 %
